"Parent","parent_sku","post_parent","ID","post_status","menu_order","sku","downloadable","virtual","stock","stock_status","regular_price","sale_price","weight","length","width","height","tax_class","file_path","file_paths","download_limit","images","downloadable_files","tax:product_shipping_class","meta:attribute_pa_chain","meta:attribute_pa_color","meta:attribute_pa_diamonds","meta:attribute_pa_material","meta:attribute_pa_measure"
"DECANTER3001 V","DECANTER3001 V VARIABLE","1652","1910","publish","0","DECANTER3001 R","no","no","0","instock","250,00","","","","","","","","","","","","","","r","","","1-lt"
"DECANTER3001 V","DECANTER3001 V VARIABLE","1652","1911","publish","0","DECANTER3001 DB","no","no","0","instock","250,00","","","","","","","","","","","","","","db","","","1-lt"
"DECANTER3001 V","DECANTER3001 V VARIABLE","1652","1912","publish","0","DECANTER3001 GR","no","no","0","instock","250,00","","","","","","","","","","","","","","gr","","","1-lt"
"DECANTER3001 V","DECANTER3001 V VARIABLE","1652","1913","publish","0","DECANTER3001 V","no","no","0","instock","250,00","","","","","","","","","","","","","","v","","","1-lt"
"DECANTER40464 GR","DECANTER40464 GR VARIABLE","1653","1916","publish","0","DECANTER40464 V","no","no","0","instock","260,00","","","","","","","","","","","","","","v","","","125-lt"
"DECANTER40464 GR","DECANTER40464 GR VARIABLE","1653","1917","publish","0","DECANTER40464 GR","no","no","0","instock","260,00","","","","","","","","","","","","","","gr","","","125-lt"
"DECANTER40464 GR","DECANTER40464 GR VARIABLE","1653","1914","publish","0","DECANTER40464 R","no","no","0","instock","260,00","","","","","","","","","","","","","","r","","","125-lt"
"DECANTER40464 GR","DECANTER40464 GR VARIABLE","1653","1915","publish","0","DECANTER40464 DB","no","no","0","instock","260,00","","","","","","","","","","","","","","db","","","125-lt"
"Moonlight","Moonlight VARIABLE","1654","1993","publish","0","Moonlight-1","no","no","0","instock","229,00","","","","","","","","","","","","","","","","","12-mm"
"Moonlight","Moonlight VARIABLE","1654","1994","publish","0","Moonlight-2","no","no","0","instock","289,00","","","","","","","","","","","","","","","","","15-mm"
